#abgabe.csv
#Jakob Johannes
#Bauer
#12002215
group,number,duration,size
Indexsuche,1,4200,3
Indexsuche,2,800,3
Indexsuche,3,600,3
Indexsuche,4,600,4
Indexsuche,5,500,4
Indexsuche,6,700,4
Indexsuche,7,700,5
Indexsuche,8,700,5
Indexsuche,9,700,5
Indexsuche,10,700,6
Indexsuche,11,500,6
Indexsuche,12,600,6
Indexsuche,13,600,7
Indexsuche,14,400,7
Indexsuche,15,600,7
Indexsuche,16,600,8
Indexsuche,17,700,8
Indexsuche,18,700,8
Indexsuche,19,700,9
Indexsuche,20,600,9
Indexsuche,21,700,9
Indexsuche,22,600,10
Indexsuche,23,500,10
Indexsuche,24,700,10
Indexsuche,25,1700,250
Indexsuche,26,900,250
Indexsuche,27,3200,250
Indexsuche,28,2600,500
Indexsuche,29,1300,500
Indexsuche,30,6500,500
Indexsuche,31,3600,750
Indexsuche,32,1700,750
Indexsuche,33,9100,750
Indexsuche,34,4800,1000
Indexsuche,35,2300,1000
Indexsuche,36,11800,1000
Indexsuche,37,6200,1250
Indexsuche,38,3500,1250
Indexsuche,39,14100,1250
Indexsuche,40,7400,1500
Indexsuche,41,3800,1500
Indexsuche,42,16900,1500
Indexsuche,43,8500,1750
Indexsuche,44,4400,1750
Indexsuche,45,19500,1750
Indexsuche,46,10600,2000
Indexsuche,47,4100,2000
Indexsuche,48,22900,2000
Indexsuche,49,11600,2250
Indexsuche,50,4600,2250
Indexsuche,51,25600,2250
Indexsuche,52,19800,2500
Indexsuche,53,5700,2500
Indexsuche,54,28200,2500
Indexsuche,55,14000,2750
Indexsuche,56,5300,2750
Indexsuche,57,31000,2750
Indexsuche,58,15100,3000
Indexsuche,59,5700,3000
Indexsuche,60,33500,3000
Gale Shapley,61,72500,3
Gale Shapley,62,6700,3
Gale Shapley,63,3400,3
Gale Shapley,64,21600,4
Gale Shapley,65,8800,4
Gale Shapley,66,8200,4
Gale Shapley,67,11300,5
Gale Shapley,68,9700,5
Gale Shapley,69,9100,5
Gale Shapley,70,15200,6
Gale Shapley,71,10800,6
Gale Shapley,72,14300,6
Gale Shapley,73,34100,7
Gale Shapley,74,34300,7
Gale Shapley,75,13400,7
Gale Shapley,76,34900,8
Gale Shapley,77,34100,8
Gale Shapley,78,14300,8
Gale Shapley,79,17500,9
Gale Shapley,80,34300,9
Gale Shapley,81,23600,9
Gale Shapley,82,13800,10
Gale Shapley,83,26200,10
Gale Shapley,84,31600,10
Gale Shapley,85,2148600,250
Gale Shapley,86,2023100,250
Gale Shapley,87,3182900,250
Gale Shapley,88,2201900,500
Gale Shapley,89,1491600,500
Gale Shapley,90,1478900,500
Gale Shapley,91,2478500,750
Gale Shapley,92,2492000,750
Gale Shapley,93,2548500,750
Gale Shapley,94,4817100,1000
Gale Shapley,95,4261200,1000
Gale Shapley,96,3440100,1000
Gale Shapley,97,4169000,1250
Gale Shapley,98,4217600,1250
Gale Shapley,99,7017400,1250
Gale Shapley,100,8436400,1500
Gale Shapley,101,6659000,1500
Gale Shapley,102,8389900,1500
Gale Shapley,103,10353400,1750
Gale Shapley,104,10111700,1750
Gale Shapley,105,11247000,1750
Gale Shapley,106,12426700,2000
Gale Shapley,107,13416400,2000
Gale Shapley,108,16308000,2000
Gale Shapley,109,19110500,2250
Gale Shapley,110,16233900,2250
Gale Shapley,111,17275700,2250
Gale Shapley,112,31123000,2500
Gale Shapley,113,17757100,2500
Gale Shapley,114,19901300,2500
Gale Shapley,115,28953200,2750
Gale Shapley,116,26564500,2750
Gale Shapley,117,25767500,2750
Gale Shapley,118,33738500,3000
Gale Shapley,119,28232500,3000
Gale Shapley,120,41550300,3000
Stable Matching Positiv,121,9500,3
Stable Matching Positiv,122,1700,3
Stable Matching Positiv,123,1100,3
Stable Matching Positiv,124,2200,4
Stable Matching Positiv,125,2100,4
Stable Matching Positiv,126,2000,4
Stable Matching Positiv,127,2600,5
Stable Matching Positiv,128,2700,5
Stable Matching Positiv,129,2100,5
