#indexsuche.csv
#Jakob Johannes
#Bauer
#12002215
group,number,duration,size
Indexsuche,1,4100,3
Indexsuche,2,800,3
Indexsuche,3,600,3
Indexsuche,4,600,4
Indexsuche,5,500,4
Indexsuche,6,600,4
Indexsuche,7,500,5
Indexsuche,8,500,5
Indexsuche,9,600,5
Indexsuche,10,600,6
Indexsuche,11,500,6
Indexsuche,12,600,6
Indexsuche,13,600,7
Indexsuche,14,1000,7
Indexsuche,15,900,7
Indexsuche,16,800,8
Indexsuche,17,600,8
Indexsuche,18,600,8
Indexsuche,19,700,9
Indexsuche,20,600,9
Indexsuche,21,700,9
Indexsuche,22,600,10
Indexsuche,23,600,10
Indexsuche,24,700,10
Indexsuche,25,1600,250
Indexsuche,26,1000,250
Indexsuche,27,3300,250
Indexsuche,28,2700,500
Indexsuche,29,1400,500
Indexsuche,30,7100,500
Indexsuche,31,3700,750
Indexsuche,32,1800,750
Indexsuche,33,9000,750
Indexsuche,34,22800,1000
Indexsuche,35,2300,1000
Indexsuche,36,25300,1000
Indexsuche,37,5900,1250
Indexsuche,38,4200,1250
Indexsuche,39,14400,1250
Indexsuche,40,7300,1500
Indexsuche,41,3800,1500
Indexsuche,42,17500,1500
Indexsuche,43,8700,1750
Indexsuche,44,4300,1750
Indexsuche,45,19700,1750
Indexsuche,46,24000,2000
Indexsuche,47,4000,2000
Indexsuche,48,40800,2000
Indexsuche,49,13400,2250
Indexsuche,50,4400,2250
Indexsuche,51,24200,2250
Indexsuche,52,12400,2500
Indexsuche,53,5700,2500
Indexsuche,54,26700,2500
Indexsuche,55,32400,2750
Indexsuche,56,18400,2750
Indexsuche,57,29700,2750
Indexsuche,58,15600,3000
Indexsuche,59,6000,3000
Indexsuche,60,33300,3000
