#stablematching-negativ.csv
#Jakob Johannes
#Bauer
#12002215
group,number,duration,size
Stable Matching Negativ,181,10600,3
Stable Matching Negativ,182,2900,3
Stable Matching Negativ,183,1600,3
Stable Matching Negativ,184,3000,4
Stable Matching Negativ,185,3000,4
Stable Matching Negativ,186,2300,4
Stable Matching Negativ,187,3700,5
Stable Matching Negativ,188,2400,5
Stable Matching Negativ,189,3400,5
Stable Matching Negativ,190,1600,6
Stable Matching Negativ,191,4100,6
Stable Matching Negativ,192,5300,6
Stable Matching Negativ,193,1700,7
Stable Matching Negativ,194,3000,7
Stable Matching Negativ,195,2000,7
Stable Matching Negativ,196,5600,8
Stable Matching Negativ,197,5600,8
Stable Matching Negativ,198,4100,8
Stable Matching Negativ,199,2900,9
Stable Matching Negativ,200,3800,9
Stable Matching Negativ,201,4800,9
Stable Matching Negativ,202,3100,10
Stable Matching Negativ,203,2300,10
Stable Matching Negativ,204,3500,10
Stable Matching Negativ,205,622700,250
Stable Matching Negativ,206,21100,250
Stable Matching Negativ,207,35800,250
Stable Matching Negativ,208,889500,500
Stable Matching Negativ,209,40300,500
Stable Matching Negativ,210,601100,500
Stable Matching Negativ,211,3220700,750
Stable Matching Negativ,212,500300,750
Stable Matching Negativ,213,22100,750
Stable Matching Negativ,214,498300,1000
Stable Matching Negativ,215,130800,1000
Stable Matching Negativ,216,50100,1000
Stable Matching Negativ,217,80400,1250
Stable Matching Negativ,218,285000,1250
Stable Matching Negativ,219,555600,1250
Stable Matching Negativ,220,669000,1500
Stable Matching Negativ,221,356300,1500
Stable Matching Negativ,222,541400,1500
Stable Matching Negativ,223,1174900,1750
Stable Matching Negativ,224,162300,1750
Stable Matching Negativ,225,470600,1750
Stable Matching Negativ,226,1136400,2000
Stable Matching Negativ,227,300500,2000
Stable Matching Negativ,228,2359500,2000
Stable Matching Negativ,229,1091800,2250
Stable Matching Negativ,230,7705700,2250
Stable Matching Negativ,231,636600,2250
Stable Matching Negativ,232,240100,2500
Stable Matching Negativ,233,3180000,2500
Stable Matching Negativ,234,1008400,2500
Stable Matching Negativ,235,785000,2750
Stable Matching Negativ,236,3604000,2750
Stable Matching Negativ,237,4908800,2750
Stable Matching Negativ,238,3344300,3000
Stable Matching Negativ,239,1293900,3000
Stable Matching Negativ,240,3953100,3000
