#stablematching-positiv.csv
#Jakob Johannes
#Bauer
#12002215
group,number,duration,size
Stable Matching Positiv,121,2200,3
Stable Matching Positiv,122,900,3
Stable Matching Positiv,123,600,3
Stable Matching Positiv,124,1000,4
Stable Matching Positiv,125,900,4
Stable Matching Positiv,126,800,4
Stable Matching Positiv,127,1100,5
Stable Matching Positiv,128,1500,5
Stable Matching Positiv,129,900,5
Stable Matching Positiv,130,1700,6
Stable Matching Positiv,131,1100,6
Stable Matching Positiv,132,1100,6
Stable Matching Positiv,133,1600,7
Stable Matching Positiv,134,1600,7
Stable Matching Positiv,135,1100,7
Stable Matching Positiv,136,1800,8
Stable Matching Positiv,137,1600,8
Stable Matching Positiv,138,1500,8
Stable Matching Positiv,139,2100,9
Stable Matching Positiv,140,2500,9
Stable Matching Positiv,141,2000,9
Stable Matching Positiv,142,1500,10
Stable Matching Positiv,143,2300,10
Stable Matching Positiv,144,2300,10
Stable Matching Positiv,145,202800,250
Stable Matching Positiv,146,225000,250
Stable Matching Positiv,147,212400,250
Stable Matching Positiv,148,750300,500
Stable Matching Positiv,149,625900,500
Stable Matching Positiv,150,508200,500
Stable Matching Positiv,151,967000,750
Stable Matching Positiv,152,865400,750
Stable Matching Positiv,153,1201300,750
Stable Matching Positiv,154,1812800,1000
Stable Matching Positiv,155,2377200,1000
Stable Matching Positiv,156,1964900,1000
Stable Matching Positiv,157,2426400,1250
Stable Matching Positiv,158,2550000,1250
Stable Matching Positiv,159,2972600,1250
Stable Matching Positiv,160,5191200,1500
Stable Matching Positiv,161,5948700,1500
Stable Matching Positiv,162,7048400,1500
Stable Matching Positiv,163,9073100,1750
Stable Matching Positiv,164,8859600,1750
Stable Matching Positiv,165,6584000,1750
Stable Matching Positiv,166,6624000,2000
Stable Matching Positiv,167,8697400,2000
Stable Matching Positiv,168,8472300,2000
Stable Matching Positiv,169,9060000,2250
Stable Matching Positiv,170,7815300,2250
Stable Matching Positiv,171,8812500,2250
Stable Matching Positiv,172,13790700,2500
Stable Matching Positiv,173,8574200,2500
Stable Matching Positiv,174,9455700,2500
Stable Matching Positiv,175,13506000,2750
Stable Matching Positiv,176,12732300,2750
Stable Matching Positiv,177,12625400,2750
Stable Matching Positiv,178,18021800,3000
Stable Matching Positiv,179,14629000,3000
Stable Matching Positiv,180,21126000,3000
