#a-star-grid.csv
#Jakob Johannes
#Bauer
#12002215
group,number,heuristicType,source,target,logs
Grid,1,EUCLIDEAN_DISTANCE,1,1,1
Grid,2,EUCLIDEAN_DISTANCE,1,2,1<2|2
Grid,3,EUCLIDEAN_DISTANCE,1,3,1<2|2<7|7<6<12|6|12<13|13<14<8|8<3|3
Grid,4,EUCLIDEAN_DISTANCE,1,4,1<2|2<7|7<6<12|12<13|6|13<14<8|8<3|14<15|3|15<10<20|10<5|5<4|4
Grid,5,EUCLIDEAN_DISTANCE,1,5,1<2|2<7|7<6<12|12<13|13<14<8|6|8<3|14<15|3|15<10<20|10<5|5
Grid,6,EUCLIDEAN_DISTANCE,1,6,1<2|2<7|7<6<12|6
Grid,7,EUCLIDEAN_DISTANCE,1,7,1<2|2<7|7
Grid,8,EUCLIDEAN_DISTANCE,1,8,1<2|2<7|7<6<12|12<13|6|13<14<8|8
Grid,9,EUCLIDEAN_DISTANCE,1,9,1<2|2<7|7<6<12|12<13|13<14<8|6|8<3|14<15|3|15<10<20|10<5|20<25|5<4|4<9|9
Grid,10,EUCLIDEAN_DISTANCE,1,10,1<2|2<7|7<6<12|12<13|13<14<8|14<15|8<3|15<10<20|6|10
Grid,11,EUCLIDEAN_DISTANCE,1,11,1<2|2<7|7<6<12|6|12<13|13<14<8|8<3|14<15|3|15<10<20|10<5|20<25|5<4|25<24|4<9|24<23|23<22<18|9|18<19|22<21<17|17<16|21|16<11|11
Grid,12,EUCLIDEAN_DISTANCE,1,12,1<2|2<7|7<6<12|12
Grid,13,EUCLIDEAN_DISTANCE,1,13,1<2|2<7|7<6<12|12<13|13
Grid,14,EUCLIDEAN_DISTANCE,1,14,1<2|2<7|7<6<12|12<13|13<14<8|14
Grid,15,EUCLIDEAN_DISTANCE,1,15,1<2|2<7|7<6<12|12<13|13<14<8|14<15|15
Grid,16,EUCLIDEAN_DISTANCE,1,16,1<2|2<7|7<6<12|12<13|6|13<14<8|8<3|14<15|3|15<10<20|20<25|10<5|25<24|24<23|23<22<18|22<21<17|18<19|17<16|21|16
Grid,17,EUCLIDEAN_DISTANCE,1,17,1<2|2<7|7<6<12|12<13|6|13<14<8|14<15|8<3|15<10<20|3|20<25|10<5|25<24|24<23|23<22<18|22<21<17|18<19|17
Grid,18,EUCLIDEAN_DISTANCE,1,18,1<2|2<7|7<6<12|12<13|13<14<8|6|14<15|8<3|15<10<20|3|20<25|10<5|25<24|24<23|23<22<18|18
Grid,19,EUCLIDEAN_DISTANCE,1,19,1<2|2<7|7<6<12|12<13|13<14<8|14<15|6|8<3|15<10<20|20<25|3|10<5|25<24|24<23|5<4|23<22<18|4<9|18<19|9|19
Grid,20,EUCLIDEAN_DISTANCE,1,20,1<2|2<7|7<6<12|12<13|13<14<8|14<15|15<10<20|20
Grid,21,EUCLIDEAN_DISTANCE,1,21,1<2|2<7|7<6<12|12<13|6|13<14<8|14<15|8<3|15<10<20|3|20<25|10<5|25<24|24<23|23<22<18|22<21<17|21
Grid,22,EUCLIDEAN_DISTANCE,1,22,1<2|2<7|7<6<12|12<13|6|13<14<8|14<15|8<3|15<10<20|3|20<25|25<24|24<23|23<22<18|22
Grid,23,EUCLIDEAN_DISTANCE,1,23,1<2|2<7|7<6<12|12<13|13<14<8|6|14<15|8<3|15<10<20|20<25|3|25<24|24<23|23
Grid,24,EUCLIDEAN_DISTANCE,1,24,1<2|2<7|7<6<12|12<13|13<14<8|14<15|6|8<3|15<10<20|20<25|25<24|24
Grid,25,EUCLIDEAN_DISTANCE,1,25,1<2|2<7|7<6<12|12<13|13<14<8|14<15|6|15<10<20|20<25|25
Grid,26,EUCLIDEAN_DISTANCE,2,1,2<7|7<6<12|6<1|1
Grid,27,EUCLIDEAN_DISTANCE,2,2,2
Grid,28,EUCLIDEAN_DISTANCE,2,3,2<7|7<6<12|6<1|12<13|1|13<14<8|8<3|3
Grid,29,EUCLIDEAN_DISTANCE,2,4,2<7|7<6<12|12<13|6<1|13<14<8|8<3|1|3|14<15|15<10<20|10<5|5<4|4
Grid,30,EUCLIDEAN_DISTANCE,2,5,2<7|7<6<12|12<13|13<14<8|6<1|8<3|14<15|3|15<10<20|1|10<5|5
Grid,31,EUCLIDEAN_DISTANCE,2,6,2<7|7<6<12|6
Grid,32,EUCLIDEAN_DISTANCE,2,7,2<7|7
Grid,33,EUCLIDEAN_DISTANCE,2,8,2<7|7<6<12|12<13|6<1|13<14<8|8
Grid,34,EUCLIDEAN_DISTANCE,2,9,2<7|7<6<12|12<13|13<14<8|6<1|8<3|14<15|1|15<10<20|3|10<5|20<25|5<4|4<9|9
Grid,35,EUCLIDEAN_DISTANCE,2,10,2<7|7<6<12|12<13|13<14<8|14<15|8<3|15<10<20|6<1|10
Grid,36,EUCLIDEAN_DISTANCE,2,11,2<7|7<6<12|6<1|12<13|1|13<14<8|8<3|14<15|3|15<10<20|10<5|20<25|5<4|25<24|4<9|24<23|23<22<18|9|18<19|22<21<17|17<16|21|16<11|11
Grid,37,EUCLIDEAN_DISTANCE,2,12,2<7|7<6<12|12
Grid,38,EUCLIDEAN_DISTANCE,2,13,2<7|7<6<12|12<13|13
Grid,39,EUCLIDEAN_DISTANCE,2,14,2<7|7<6<12|12<13|13<14<8|14
Grid,40,EUCLIDEAN_DISTANCE,2,15,2<7|7<6<12|12<13|13<14<8|14<15|15
Grid,41,EUCLIDEAN_DISTANCE,2,16,2<7|7<6<12|12<13|6<1|13<14<8|1|8<3|14<15|3|15<10<20|20<25|10<5|25<24|24<23|23<22<18|22<21<17|18<19|17<16|21|16
