#a-star-street.csv
#Jakob Johannes
#Bauer
#12002215
group,number,heuristicType,source,target,logs
Street,1,EUCLIDEAN_DISTANCE,1,1,1
Street,2,EUCLIDEAN_DISTANCE,1,2,1<2|2
Street,3,EUCLIDEAN_DISTANCE,1,3,1<2|2<7|7<11<12|12<13|13<9<8|8<3|3
Street,4,EUCLIDEAN_DISTANCE,1,4,1<2|2<7|7<11<12|12<13|13<9<8|9<15<14|8<3|3|11<6|6|14|15<10<18|10<5|5<4|4
Street,5,EUCLIDEAN_DISTANCE,1,5,1<2|2<7|7<11<12|12<13|13<9<8|9<15<14|8<3|11<6|3|6|14|15<10<18|10<5|5
Street,6,EUCLIDEAN_DISTANCE,1,6,1<2|2<7|7<11<12|11<6|12<13|6
Street,7,EUCLIDEAN_DISTANCE,1,7,1<2|2<7|7
Street,8,EUCLIDEAN_DISTANCE,1,8,1<2|2<7|7<11<12|12<13|13<9<8|8
Street,9,EUCLIDEAN_DISTANCE,1,9,1<2|2<7|7<11<12|12<13|13<9<8|9
Street,10,EUCLIDEAN_DISTANCE,1,10,1<2|2<7|7<11<12|12<13|13<9<8|9<15<14|8<3|11<6|15<10<18|14|10
Street,11,EUCLIDEAN_DISTANCE,1,11,1<2|2<7|7<11<12|11
Street,12,EUCLIDEAN_DISTANCE,1,12,1<2|2<7|7<11<12|12
Street,13,EUCLIDEAN_DISTANCE,1,13,1<2|2<7|7<11<12|12<13|13
Street,14,EUCLIDEAN_DISTANCE,1,14,1<2|2<7|7<11<12|12<13|13<9<8|11<6|8<3|9<15<14|14
Street,15,EUCLIDEAN_DISTANCE,1,15,1<2|2<7|7<11<12|12<13|13<9<8|9<15<14|15
Street,16,EUCLIDEAN_DISTANCE,1,16,1<2|2<7|7<11<12|11<6|12<13|13<9<8|6|8<3|9<15<14|14|3|15<10<18|18<19|10<5|19<20<23|23<22|5<4|22<17|4|20<25|17<21|21<16|16
Street,17,EUCLIDEAN_DISTANCE,1,17,1<2|2<7|7<11<12|12<13|11<6|13<9<8|6|8<3|9<15<14|14|3|15<10<18|18<19|10<5|19<20<23|23<22|22<17|17
Street,18,EUCLIDEAN_DISTANCE,1,18,1<2|2<7|7<11<12|12<13|13<9<8|11<6|8<3|6|9<15<14|14|3|15<10<18|18
Street,19,EUCLIDEAN_DISTANCE,1,19,1<2|2<7|7<11<12|12<13|13<9<8|11<6|8<3|9<15<14|14|6|15<10<18|3|18<19|10<5|19
Street,20,EUCLIDEAN_DISTANCE,1,20,1<2|2<7|7<11<12|12<13|13<9<8|11<6|9<15<14|8<3|15<10<18|14|6|3|10<5|18<19|19<20<23|20
Street,21,EUCLIDEAN_DISTANCE,1,21,1<2|2<7|7<11<12|12<13|11<6|13<9<8|6|8<3|9<15<14|14|3|15<10<18|18<19|10<5|19<20<23|23<22|22<17|5<4|4|17<21|21
Street,22,EUCLIDEAN_DISTANCE,1,22,1<2|2<7|7<11<12|12<13|11<6|13<9<8|6|8<3|9<15<14|14|3|15<10<18|18<19|10<5|19<20<23|23<22|22
Street,23,EUCLIDEAN_DISTANCE,1,23,1<2|2<7|7<11<12|12<13|13<9<8|11<6|8<3|6|9<15<14|14|15<10<18|3|18<19|10<5|19<20<23|23
Street,24,EUCLIDEAN_DISTANCE,1,24,1<2|2<7|7<11<12|12<13|13<9<8|11<6|8<3|9<15<14|14|6|15<10<18|3|18<19|10<5|19<20<23|20<25|23<22|5<4|25<24|24
Street,25,EUCLIDEAN_DISTANCE,1,25,1<2|2<7|7<11<12|12<13|13<9<8|11<6|9<15<14|8<3|14|15<10<18|6|3|10<5|18<19|19<20<23|20<25|25
Street,26,EUCLIDEAN_DISTANCE,2,1,2<7|7<11<12|12<13|11<6|6<1|1
Street,27,EUCLIDEAN_DISTANCE,2,2,2
Street,28,EUCLIDEAN_DISTANCE,2,3,2<7|7<11<12|12<13|13<9<8|8<3|3
