#abgabe.csv
#Jakob Johannes
#Bauer
#12002215
group,number,heuristicType,source,target,logs
Manhattan Distance Test,1,null,0,0,null
Manhattan Distance Test,2,null,0,0,null
Manhattan Distance Test,3,null,0,0,null
Manhattan Distance Test,4,null,0,0,null
Manhattan Distance Test,5,null,0,0,null
Manhattan Distance Test,6,null,0,0,null
Manhattan Distance Test,7,null,0,0,null
Manhattan Distance Test,8,null,0,0,null
Manhattan Distance Test,9,null,0,0,null
Manhattan Distance Test,10,null,0,0,null
Manhattan Distance Test,11,null,0,0,null
Manhattan Distance Test,12,null,0,0,null
Manhattan Distance Test,13,null,0,0,null
Manhattan Distance Test,14,null,0,0,null
Manhattan Distance Test,15,null,0,0,null
Manhattan Distance Test,16,null,0,0,null
Manhattan Distance Test,17,null,0,0,null
Manhattan Distance Test,18,null,0,0,null
Manhattan Distance Test,19,null,0,0,null
Manhattan Distance Test,20,null,0,0,null
Manhattan Distance Test,21,null,0,0,null
Manhattan Distance Test,22,null,0,0,null
Manhattan Distance Test,23,null,0,0,null
Manhattan Distance Test,24,null,0,0,null
Manhattan Distance Test,25,null,0,0,null
Manhattan Distance Test,26,null,0,0,null
Manhattan Distance Test,27,null,0,0,null
Manhattan Distance Test,28,null,0,0,null
Manhattan Distance Test,29,null,0,0,null
Manhattan Distance Test,30,null,0,0,null
Manhattan Distance Test,31,null,0,0,null
Manhattan Distance Test,32,null,0,0,null
Manhattan Distance Test,33,null,0,0,null
Manhattan Distance Test,34,null,0,0,null
Manhattan Distance Test,35,null,0,0,null
Manhattan Distance Test,36,null,0,0,null
Manhattan Distance Test,37,null,0,0,null
Manhattan Distance Test,38,null,0,0,null
Manhattan Distance Test,39,null,0,0,null
Manhattan Distance Test,40,null,0,0,null
Manhattan Distance Test,41,null,0,0,null
Manhattan Distance Test,42,null,0,0,null
Manhattan Distance Test,43,null,0,0,null
Manhattan Distance Test,44,null,0,0,null
Manhattan Distance Test,45,null,0,0,null
Manhattan Distance Test,46,null,0,0,null
Manhattan Distance Test,47,null,0,0,null
Manhattan Distance Test,48,null,0,0,null
Manhattan Distance Test,49,null,0,0,null
Manhattan Distance Test,50,null,0,0,null
Manhattan Distance Test,51,null,0,0,null
Manhattan Distance Test,52,null,0,0,null
Euclidean Distance Test,53,null,0,0,null
Euclidean Distance Test,54,null,0,0,null
Euclidean Distance Test,55,null,0,0,null
Euclidean Distance Test,56,null,0,0,null
Euclidean Distance Test,57,null,0,0,null
Euclidean Distance Test,58,null,0,0,null
Euclidean Distance Test,59,null,0,0,null
Euclidean Distance Test,60,null,0,0,null
Euclidean Distance Test,61,null,0,0,null
Euclidean Distance Test,62,null,0,0,null
Euclidean Distance Test,63,null,0,0,null
Euclidean Distance Test,64,null,0,0,null
Euclidean Distance Test,65,null,0,0,null
Euclidean Distance Test,66,null,0,0,null
Euclidean Distance Test,67,null,0,0,null
Euclidean Distance Test,68,null,0,0,null
Euclidean Distance Test,69,null,0,0,null
Euclidean Distance Test,70,null,0,0,null
Euclidean Distance Test,71,null,0,0,null
Euclidean Distance Test,72,null,0,0,null
Euclidean Distance Test,73,null,0,0,null
Euclidean Distance Test,74,null,0,0,null
Euclidean Distance Test,75,null,0,0,null
Euclidean Distance Test,76,null,0,0,null
Euclidean Distance Test,77,null,0,0,null
Euclidean Distance Test,78,null,0,0,null
Euclidean Distance Test,79,null,0,0,null
Euclidean Distance Test,80,null,0,0,null
Euclidean Distance Test,81,null,0,0,null
Euclidean Distance Test,82,null,0,0,null
Euclidean Distance Test,83,null,0,0,null
Euclidean Distance Test,84,null,0,0,null
Euclidean Distance Test,85,null,0,0,null
Euclidean Distance Test,86,null,0,0,null
Euclidean Distance Test,87,null,0,0,null
Euclidean Distance Test,88,null,0,0,null
Euclidean Distance Test,89,null,0,0,null
Euclidean Distance Test,90,null,0,0,null
Euclidean Distance Test,91,null,0,0,null
Euclidean Distance Test,92,null,0,0,null
Euclidean Distance Test,93,null,0,0,null
Euclidean Distance Test,94,null,0,0,null
Euclidean Distance Test,95,null,0,0,null
Euclidean Distance Test,96,null,0,0,null
Euclidean Distance Test,97,null,0,0,null
Euclidean Distance Test,98,null,0,0,null
Euclidean Distance Test,99,null,0,0,null
Euclidean Distance Test,100,null,0,0,null
Euclidean Distance Test,101,null,0,0,null
Euclidean Distance Test,102,null,0,0,null
Euclidean Distance Test,103,null,0,0,null
Euclidean Distance Test,104,null,0,0,null
Grid,105,EUCLIDEAN_DISTANCE,1,1,1
Grid,106,EUCLIDEAN_DISTANCE,1,2,1<2|2
Grid,107,EUCLIDEAN_DISTANCE,1,3,1<2|2<7|7<6<12|6|12<13|13<14<8|8<3|3
Grid,108,EUCLIDEAN_DISTANCE,1,4,1<2|2<7|7<6<12|12<13|6|13<14<8|8<3|14<15|3|15<10<20|10<5|5<4|4
Grid,109,EUCLIDEAN_DISTANCE,1,5,1<2|2<7|7<6<12|12<13|13<14<8|6|8<3|14<15|3|15<10<20|10<5|5
Grid,110,EUCLIDEAN_DISTANCE,1,6,1<2|2<7|7<6<12|6
Grid,111,EUCLIDEAN_DISTANCE,1,7,1<2|2<7|7
Grid,112,EUCLIDEAN_DISTANCE,1,8,1<2|2<7|7<6<12|12<13|6|13<14<8|8
Grid,113,EUCLIDEAN_DISTANCE,1,9,1<2|2<7|7<6<12|12<13|13<14<8|6|8<3|14<15|3|15<10<20|10<5|20<25|5<4|4<9|9
Grid,114,EUCLIDEAN_DISTANCE,1,10,1<2|2<7|7<6<12|12<13|13<14<8|14<15|8<3|15<10<20|6|10
Grid,115,EUCLIDEAN_DISTANCE,1,11,1<2|2<7|7<6<12|6|12<13|13<14<8|8<3|14<15|3|15<10<20|10<5|20<25|5<4|25<24|4<9|24<23|23<22<18|9|18<19|22<21<17|17<16|21|16<11|11
Grid,116,EUCLIDEAN_DISTANCE,1,12,1<2|2<7|7<6<12|12
Grid,117,EUCLIDEAN_DISTANCE,1,13,1<2|2<7|7<6<12|12<13|13
Grid,118,EUCLIDEAN_DISTANCE,1,14,1<2|2<7|7<6<12|12<13|13<14<8|14
Grid,119,EUCLIDEAN_DISTANCE,1,15,1<2|2<7|7<6<12|12<13|13<14<8|14<15|15
Grid,120,EUCLIDEAN_DISTANCE,1,16,1<2|2<7|7<6<12|12<13|6|13<14<8|8<3|14<15|3|15<10<20|20<25|10<5|25<24|24<23|23<22<18|22<21<17|18<19|17<16|21|16
Grid,121,EUCLIDEAN_DISTANCE,1,17,1<2|2<7|7<6<12|12<13|6|13<14<8|14<15|8<3|15<10<20|3|20<25|10<5|25<24|24<23|23<22<18|22<21<17|18<19|17
Grid,122,EUCLIDEAN_DISTANCE,1,18,1<2|2<7|7<6<12|12<13|13<14<8|6|14<15|8<3|15<10<20|3|20<25|10<5|25<24|24<23|23<22<18|18
Grid,123,EUCLIDEAN_DISTANCE,1,19,1<2|2<7|7<6<12|12<13|13<14<8|14<15|6|8<3|15<10<20|20<25|3|10<5|25<24|24<23|5<4|23<22<18|4<9|18<19|9|19
Grid,124,EUCLIDEAN_DISTANCE,1,20,1<2|2<7|7<6<12|12<13|13<14<8|14<15|15<10<20|20
Grid,125,EUCLIDEAN_DISTANCE,1,21,1<2|2<7|7<6<12|12<13|6|13<14<8|14<15|8<3|15<10<20|3|20<25|10<5|25<24|24<23|23<22<18|22<21<17|21
Grid,126,EUCLIDEAN_DISTANCE,1,22,1<2|2<7|7<6<12|12<13|6|13<14<8|14<15|8<3|15<10<20|3|20<25|25<24|24<23|23<22<18|22
Grid,127,EUCLIDEAN_DISTANCE,1,23,1<2|2<7|7<6<12|12<13|13<14<8|6|14<15|8<3|15<10<20|20<25|3|25<24|24<23|23
Grid,128,EUCLIDEAN_DISTANCE,1,24,1<2|2<7|7<6<12|12<13|13<14<8|14<15|6|8<3|15<10<20|20<25|25<24|24
Grid,129,EUCLIDEAN_DISTANCE,1,25,1<2|2<7|7<6<12|12<13|13<14<8|14<15|6|15<10<20|20<25|25
Grid,130,EUCLIDEAN_DISTANCE,2,1,2<7|7<6<12|6<1|1
Grid,131,EUCLIDEAN_DISTANCE,2,2,2
Grid,132,EUCLIDEAN_DISTANCE,2,3,2<7|7<6<12|6<1|12<13|1|13<14<8|8<3|3
Grid,133,EUCLIDEAN_DISTANCE,2,4,2<7|7<6<12|12<13|6<1|13<14<8|8<3|1|3|14<15|15<10<20|10<5|5<4|4
Grid,134,EUCLIDEAN_DISTANCE,2,5,2<7|7<6<12|12<13|13<14<8|6<1|8<3|14<15|3|15<10<20|1|10<5|5
Grid,135,EUCLIDEAN_DISTANCE,2,6,2<7|7<6<12|6
Grid,136,EUCLIDEAN_DISTANCE,2,7,2<7|7
Grid,137,EUCLIDEAN_DISTANCE,2,8,2<7|7<6<12|12<13|6<1|13<14<8|8
Grid,138,EUCLIDEAN_DISTANCE,2,9,2<7|7<6<12|12<13|13<14<8|6<1|8<3|14<15|1|15<10<20|3|10<5|20<25|5<4|4<9|9
Grid,139,EUCLIDEAN_DISTANCE,2,10,2<7|7<6<12|12<13|13<14<8|14<15|8<3|15<10<20|6<1|10
Grid,140,EUCLIDEAN_DISTANCE,2,11,2<7|7<6<12|6<1|12<13|1|13<14<8|8<3|14<15|3|15<10<20|10<5|20<25|5<4|25<24|4<9|24<23|23<22<18|9|18<19|22<21<17|17<16|21|16<11|11
Grid,141,EUCLIDEAN_DISTANCE,2,12,2<7|7<6<12|12
Grid,142,EUCLIDEAN_DISTANCE,2,13,2<7|7<6<12|12<13|13
Grid,143,EUCLIDEAN_DISTANCE,2,14,2<7|7<6<12|12<13|13<14<8|14
Grid,144,EUCLIDEAN_DISTANCE,2,15,2<7|7<6<12|12<13|13<14<8|14<15|15
Grid,145,EUCLIDEAN_DISTANCE,2,16,2<7|7<6<12|12<13|6<1|13<14<8|1|8<3|14<15|3|15<10<20|20<25|10<5|25<24|24<23|23<22<18|22<21<17|18<19|17<16|21|16
Grid,146,EUCLIDEAN_DISTANCE,2,17,2<7|7<6<12|12<13|6<1|13<14<8|1|8<3|14<15|3|15<10<20|20<25|10<5|25<24|24<23|23<22<18|22<21<17|18<19|17
Grid,147,EUCLIDEAN_DISTANCE,2,18,2<7|7<6<12|12<13|13<14<8|6<1|14<15|8<3|1|15<10<20|3|20<25|10<5|25<24|24<23|23<22<18|18
Grid,148,EUCLIDEAN_DISTANCE,2,19,2<7|7<6<12|12<13|13<14<8|14<15|6<1|8<3|15<10<20|20<25|1|3|10<5|25<24|24<23|5<4|23<22<18|4<9|18<19|9|19
